task_id,ablation_id,ablation_label,table_order,reference_condition,reference_strict_success,ablated_strict_success,bootstrap_seed
skillmtts_final_azure_pdm_temporal_shift_cf8054e44d40,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,1,20260830
skillmtts_final_bdg2_event_rate_shift_1d853b83f474,no_temporal_skills,No Temporal Skills,1,annotated_preload,0,0,20260830
skillmtts_final_bdg2_event_rate_shift_57ec90ef0c8a,no_temporal_skills,No Temporal Skills,1,annotated_preload,0,0,20260830
skillmtts_final_bdg2_event_rate_shift_892b670ab30e,no_temporal_skills,No Temporal Skills,1,annotated_preload,0,0,20260830
skillmtts_final_bdg2_event_rate_shift_9277c9db5e80,no_temporal_skills,No Temporal Skills,1,annotated_preload,0,0,20260830
skillmtts_final_bdg2_event_rate_shift_a15718fcd342,no_temporal_skills,No Temporal Skills,1,annotated_preload,0,0,20260830
skillmtts_final_bdg2_temporal_shift_184eaf51cfb3,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,1,20260830
skillmtts_final_bdg2_trend_slope_1dc44f126bb7,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,1,20260830
skillmtts_final_bdg2_trend_slope_6761c44fb4e6,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,1,20260830
skillmtts_final_bdg2_weekday_contrast_3abe04b96783,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,1,20260830
skillmtts_final_rel_event_event_contrast_1c46d08444d8,no_temporal_skills,No Temporal Skills,1,annotated_preload,0,1,20260830
skillmtts_final_rel_event_event_contrast_5c7f8d525c5c,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,1,20260830
skillmtts_final_rel_event_event_rate_shift_063024609f74,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,0,20260830
skillmtts_final_rel_event_event_rate_shift_17a67224d29d,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,1,20260830
skillmtts_final_rel_event_event_rate_shift_844ad9e1b85a,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,1,20260830
skillmtts_final_rel_event_event_rate_shift_910654f4c616,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,1,20260830
skillmtts_final_rel_event_event_rate_shift_959ead910894,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,0,20260830
skillmtts_final_rel_event_event_rate_shift_ee4e53fa57de,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,1,20260830
skillmtts_final_rel_event_monthly_volatility_1e88f66274df,no_temporal_skills,No Temporal Skills,1,annotated_preload,0,0,20260830
skillmtts_final_rel_event_monthly_volatility_9312a2bdebe4,no_temporal_skills,No Temporal Skills,1,annotated_preload,0,1,20260830
skillmtts_final_rel_event_monthly_volatility_b8f0599d4b13,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,1,20260830
skillmtts_final_rel_event_monthly_volatility_c055186df6e5,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,1,20260830
skillmtts_final_rel_event_monthly_volatility_c179ff718a09,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,1,20260830
skillmtts_final_rel_event_monthly_volatility_ddad5871ed1c,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,1,20260830
skillmtts_final_rel_event_peak_month_0a0ab5eb60f3,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,0,20260830
skillmtts_final_rel_event_rank_reversal_3f4882a631b7,no_temporal_skills,No Temporal Skills,1,annotated_preload,0,0,20260830
skillmtts_final_rel_event_rank_reversal_5ed0256caabb,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,1,20260830
skillmtts_final_rel_event_rank_reversal_8de0d2589e7f,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,0,20260830
skillmtts_final_rel_event_rank_reversal_a2a8d468fce2,no_temporal_skills,No Temporal Skills,1,annotated_preload,0,1,20260830
skillmtts_final_rel_event_rank_reversal_a411024a9212,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,0,20260830
skillmtts_final_rel_event_rank_reversal_f2bc008efcbd,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,0,20260830
skillmtts_final_rel_event_tail_spread_047190846b69,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,1,20260830
skillmtts_final_rel_event_tail_spread_704332fe738a,no_temporal_skills,No Temporal Skills,1,annotated_preload,0,0,20260830
skillmtts_final_rel_event_tail_spread_f55c55ba3926,no_temporal_skills,No Temporal Skills,1,annotated_preload,0,1,20260830
skillmtts_final_rel_event_tail_spread_fd6a38d72da7,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,1,20260830
skillmtts_final_rel_event_trend_slope_0e4c732e5f14,no_temporal_skills,No Temporal Skills,1,annotated_preload,0,0,20260830
skillmtts_final_rel_event_trend_slope_7df1067e7790,no_temporal_skills,No Temporal Skills,1,annotated_preload,0,1,20260830
skillmtts_final_rel_event_trend_slope_f3693475661c,no_temporal_skills,No Temporal Skills,1,annotated_preload,1,0,20260830
