Harness,Model,Avg@3 (B/S/A),Δ (S/A),TEA (B/S/A),TD-F1 (B/S/A),TCC (B/S/A),REA (B/S/A),DAR (B/S/A),SkE-F1 (B/S/A),SVR (B/S/A),Calls (B/S/A),C/S (B/S/A)
Codex,GPT-5.4,50.199203187251/65.33864541832669/65.33864541832669,15.13944223107569/15.13944223107569,42.93619174097262/52.30546069689497/64.63748181875671,23.556609365737996/42.2861094645327/62.15174866627149,54.34527448425764/60.88599714747003/71.17804104397359,73.60888115868195/76.40060323327256/73.89043006572886,46.61127308066083/50.12439261418853/49.118561710398445,—/9.375830013280212/64.20982735723771,—/82.14285714285714/69.65471447543161,8.079681274900398/13.143426294820717/22.788844621513945,16.095238095238095/20.115853658536587/34.87804878048781
Codex,GPT-5.6,60.95617529880478/67.33067729083665/62.94820717131474,6.37450199203187/1.99203187250996,39.165401884525386/54.20832542844495/57.98441156010877,24.8686030428769/54.2501481920569/56.36237897648686,49.144493630287295/60.94373916926124/60.71088656242161,75.43141527205272/74.25809987562975/47.67610875180596,92.77810304449648/94.49779911964785/89.51814058956916,—/24.961107949155759/64.07702523240371,—/65.32297178130512/87.91500664010624,5.0239043824701195/21.816733067729082/11.649402390438247,8.241830065359476/32.40236686390533/18.50632911392405
Codex,DS-V4-F,23.904382470119523/43.824701195219123/45.41832669322709,19.9203187250996/21.513944223107567,48.92746474419781/61.52809397331309/66.79164295200152,26.21023513139696/51.24678917210037/60.78047816637028,59.2893721865298/67.75689185908371/72.78657805912917,77.7764267604905/79.48717137960166/80.82681742044292,72.00680272108844/75.11467444120505/76.41107871720116,—/29.840637450199203/98.40637450199203,—/97.61904761904762/95.02487562189055,8.649402390438247/23.02788844621514/18.681274900398407,36.18333333333333/52.54545454545455/41.131578947368425
Codex,DS-V4-P,42.231075697211157/57.37051792828686/54.9800796812749,15.139442231075703/12.749003984063743,46.070005691519633/58.35096123442737/64.74459305634603,26.13515115589804/54.62556806955147/61.13613910294408,55.36078630597158/64.55005400605527/71.35241017096875,76.86254722111295/76.6866444754891/76.46688120791706,64.03887269193391/54.7891156462585/68.84062196307095,—/45.63081009296149/97.34395750332006,—/95.52752293577982/100,10.0597609561753/22.338645418326692/17.175298804780876,23.820754716981135/38.93749999999999/31.23913043478261
Claude Code,DS-V4-F,26.693227091633465/44.223107569721115/42.231075697211157,17.52988047808765/15.537848605577692,48.670397773983426/56.96728957187125/67.38830392714855,27.476783244418096/41.778304682869/60.50582888757162,58.7079799620674/64.3394877512339/73.44971857292013,77.89157205491867/78.82185064455981/75.91569489975865,61.85714285714287/68.19241982507289/60.73672911787665,—/28.459495351925634/99.20318725099602,—/83.50547730829422/84.8605577689243,10.56175298804781/26.171314741035857/20.0597609561753,39.56716417910448/59.18018018018018/47.5
Claude Code,DS-V4-P,38.247011952191234/58.56573705179283/60.95617529880478,20.318725099601596/22.709163346613546,48.60794915575792/56.97068867387592/65.23920192246885,29.46058091286307/43.957715866429553/61.60837779095041,57.9466999604428/63.74827399261417/71.73877181441835,77.11173804799303/76.0580713369558/76.52179825486598,63.88338192419825/56.07191448007774/61.11273080660836,—/33.71845949535192/99.33598937583001,—/81.00198412698413/93.82470119521913,10.860557768924302/21.199203187250998/17.90836653386454,28.395833333333332/36.197278911564624/29.37908496732026
Nanobot,GPT-5.4,28.68525896414343/58.96414342629482/59.36254980079682,30.27888446215139/30.67729083665339,28.713874660089794/43.31768165433504/54.80435401252134,13.928077455048407/23.34716459197787/52.0825923730488,37.51984004058369/54.51300278899172/60.17355372532497,55.30126727337882/72.80416794361018/66.42999836226927,40.33144535347179/35.42438732815302/66.64241622574956,—/0/56.37450199203188,—/85.71428571428571/50.07092198581561,7.904382470119522/10.103585657370518/25.48605577689243,27.555555555555554/17.135135135135133/42.93288590604027
Nanobot,DS-V4-F,32.40371845949535/57.76892430278885/58.96414342629482,25.3652058432935/26.56042496679947,47.035983051919306/55.6032220325049/63.7284987035983,27.96285319106896/48.51281038003029/60.49529078574721,57.22317515710333/64.06123266855405/70.42187913707266,71.91722669146309/72.50055364929202/74.75553810215164,39.35869988322305/35.100097181729834/71.58544573262593,—/37.30854360336432/64.29836210712704,—/68.5958904109589/74.98890368397692,7.922974767596282/21.378486055776893/32.755644090305445,24.45081967213115/37.00689655172414/55.5518018018018
Nanobot,DS-V4-P,42.62948207171315/60.1593625498008/58.16733067729084,17.52988047808765/15.53784860557769,48.52146967684816/56.371656232214/62.62489723645102,30.05730092867022/51.40683659355859/60.17585457419482,56.88541060951804/62.79136364697216/69.00223523969715,77.63862299718873/78.04954526070064/76.33543968205323,64.50048590864917/59.54421768707483/96.46314957518277,—/34.183266932270917/64.54183266932271,—/59.48/79.7476759628154,10.278884462151394/23.051792828685258/35.33466135458168,24.11214953271028/38.317880794701985/60.74657534246575
Macro Average,,38.43883724361812/57.06064630367419/56.48517042939354,18.621809060056073/18.046333185775417,44.294304264423786/55.069264388653494/63.10482057660012,25.51735493644207/45.7123830014563/59.477632147065066,54.04700359297351/62.62111589224847/68.9793415917696,73.72663305303116/76.11852308879017/72.09096741633262,60.59624527387386/58.762113147045355/71.15876382647589,—/27.053127876501048/78.6434508878068,—/79.87889300439029/81.7874841482422,8.815700162313709/20.247897299690127/22.426589936550098,25.380297609305202/36.87094962680028/40.20727058824344
